Seed,Keyword,Volume,KD%,CPC (USD),Post Type,Priority,Notes
atp-claude code,can claude code read pdfs,,,ATP,Feature Explainer,High,"Quick capability post. Practical workflow tips."
atp-claude code,can claude code use other models,,,ATP,Feature Explainer,High,"Ties to SEMRush keyword 'how to use a different llm with claude code' (390 vol, KD 8). Same post."
atp-claude code,what are claude code skills,,,ATP,Feature Explainer,High,"Skills/slash commands explainer. You use these daily."
atp-claude code,claude code vs copilot,,,ATP,Comparison,High,"Major comparison. Copilot is the default for most devs. Head-to-head from real experience."
atp-claude code,claude code vs github copilot,,,ATP,Comparison,High,"Same intent as above. Fold into one post targeting both keywords."
atp-claude code,claude code vs codex,,,ATP,Comparison,High,"OpenAI Codex vs Claude Code. Timely — Codex just launched."
atp-claude code,claude code vs gemini cli,,,ATP,Comparison,High,"NEW comp. Google's CLI tool. Direct competitor comparison."
atp-claude code,claude code vs chatgpt,,,ATP,Comparison,Medium,"Broader comparison. Different products but people search this."
atp-claude code,claude code vs claude,,,ATP,Explainer,High,"Same confusion as 'claude ai vs claude code'. People don't know the difference."
atp-claude code,claude code with bedrock,,,ATP,Tutorial,Medium,"AWS Bedrock integration. Enterprise angle."
atp-claude code,claude code for students,,,ATP,Use Case,Medium,"Education angle. Fold with 'claude ai for students'."
atp-claude code,claude code for beginners,,,ATP,Tutorial,Medium,"Beginner guide. Fold with 'claude ai for beginners'."
atp-claude code,claude code for dummies,,,ATP,Tutorial,Low,"Same intent as beginners. Fold in."
atp-claude code,can claude code generate images,,,ATP,Feature Explainer,Medium,"Fold into main 'can claude generate images' post."
atp-claude code,can claude code read files,,,ATP,Feature Explainer,Low,"Basic capability. Fold into a 'what can claude code do' overview."
atp-claude code,can claude code edit files,,,ATP,Feature Explainer,Low,"Basic capability. Fold into same overview."
